MONTH,COUNTRY,REGION,CAUSE,EVENT_VALIDITY,EQ_MAGNITUDE,EQ_DEPTH,TS_INTENSITY
June,CHINA,"China, North and South Korea, Philippines, Taiwan",Earthquake,Questionable Tsunami,,,1.0
,GREECE,Mediterranean Sea,Earthquake,Probable Tsunami,7.0,,4.0
,GREECE,Mediterranean Sea,Earthquake,Questionable Tsunami,6.9,,3.0
November,USA,"East Coast USA and Canada, St Pierre and Miquelon",Earthquake,Very Doubtful Tsunami,,,
October,VENEZUELA,Caribbean Sea,Earthquake,Very Doubtful Tsunami,7.5,,
January,JAPAN,Japan,Earthquake,Probable Tsunami,7.4,,2.0
October,ISRAEL,Mediterranean Sea,Earthquake,Questionable Tsunami,,,4.0
July,PORTUGAL,Northeast Atlantic Ocean,Earthquake,Probable Tsunami,,,
September,MEXICO,West Coast of North and Central America,Earthquake,Probable Tsunami,,,2.0
October,DOMINICAN REPUBLIC,Caribbean Sea,Earthquake,Probable Tsunami,7.3,,
August,PHILIPPINES,"China, North and South Korea, Philippines, Taiwan",Volcano,Definite Tsunami,,,
November,RUSSIA,Kamchatka and Kuril Islands,Earthquake,Probable Tsunami,7.0,,1.5
December,CHILE,West Coast of South America,Earthquake,Very Doubtful Tsunami,8.0,,
February,GREECE,Mediterranean Sea,Earthquake,Very Doubtful Tsunami,7.0,,3.0
December,PORTUGAL,Northeast Atlantic Ocean,Earthquake,Very Doubtful Tsunami,,,
September,PHILIPPINES,"China, North and South Korea, Philippines, Taiwan",Volcano,Definite Tsunami,,,
November,CHILE,West Coast of South America,Earthquake,Very Doubtful Tsunami,,,3.0
April,ANTIGUA AND BARBUDA,Caribbean Sea,Earthquake,Definite Tsunami,8.0,,
July,TURKEY,Mediterranean Sea,Earthquake,Questionable Tsunami,7.0,,2.0
March,CHILE,West Coast of South America,Earthquake,Very Doubtful Tsunami,7.5,,
June,PERU,West Coast of South America,Earthquake,Probable Tsunami,8.4,40.0,2.5
December,PHILIPPINES,"China, North and South Korea, Philippines, Taiwan",Earthquake,Questionable Tsunami,,,1.0
,GREECE,Mediterranean Sea,Earthquake,Very Doubtful Tsunami,,,1.0
July,CHINA,"China, North and South Korea, Philippines, Taiwan",Earthquake,Probable Tsunami,8.5,,
July,TURKEY,Mediterranean Sea,Earthquake,Probable Tsunami,6.6,,2.0
