MONTH,COUNTRY,REGION,CAUSE,EVENT_VALIDITY,EQ_MAGNITUDE,EQ_DEPTH,TS_INTENSITY
November,PERU,West Coast of South America,Earthquake,Probable Tsunami,6.8,93.0,4.0
August,DOMINICAN REPUBLIC,Caribbean Sea,Earthquake,Definite Tsunami,7.5,15.0,
June,MEXICO,West Coast of North and Central America,Earthquake,Definite Tsunami,7.7,25.0,1.5
November,CHILE,West Coast of South America,Earthquake,Definite Tsunami,8.7,35.0,2.5
September,PHILIPPINES,"China, North and South Korea, Philippines, Taiwan",Volcano,Definite Tsunami,,,
August,INDONESIA,Indian Ocean (including west coast of Australia),Volcano and Landslide,Definite Tsunami,,1.0,3.0
December,"MICRONESIA, FED. STATES OF","E Coast Australia, New Zealand, South Pacific Is.",Meteorological,Very Doubtful Tsunami,,,1.5
March,USA,Alaska (including Aleutian Islands),Earthquake and Landslide,Definite Tsunami,9.2,33.0,3.5
April,USA,Alaska (including Aleutian Islands),Earthquake and Landslide,Definite Tsunami,8.6,15.0,4.0
September,JAPAN,Japan,Earthquake,Definite Tsunami,7.9,33.0,3.0
March,JAPAN,Japan,Earthquake,Definite Tsunami,8.4,35.0,3.5
December,JAPAN,Japan,Earthquake,Definite Tsunami,8.1,30.0,2.5
November,PAKISTAN,Indian Ocean (including west coast of Australia),Earthquake and Landslide,Definite Tsunami,8.0,,
August,DOMINICAN REPUBLIC,Caribbean Sea,Earthquake,Definite Tsunami,7.9,15.0,
December,JAPAN,Japan,Earthquake,Definite Tsunami,8.1,20.0,2.5
November,RUSSIA,Kamchatka and Kuril Islands,Earthquake,Definite Tsunami,9.0,22.0,4.0
May,CHILE,West Coast of South America,Earthquake,Definite Tsunami,9.5,33.0,4.0
August,TURKEY,Mediterranean Sea,Earthquake,Very Doubtful Tsunami,,,
September,USA,"East Coast USA and Canada, St Pierre and Miquelon",Meteorological,Very Doubtful Tsunami,,,
September,USA,"East Coast USA and Canada, St Pierre and Miquelon",Meteorological,Very Doubtful Tsunami,,,
May,GREECE,Mediterranean Sea,Meteorological,Very Doubtful Tsunami,,,
January,GREECE,Mediterranean Sea,Landslide,Definite Tsunami,,,2.0
May,USA,"East Coast USA and Canada, St Pierre and Miquelon",Landslide,Probable Tsunami,,0.0,
October,PAPUA NEW GUINEA,"New Caledonia, New Guinea, Solomon Is., Vanuatu",Volcano,Definite Tsunami,,70.0,
June,USA,"East Coast USA and Canada, St Pierre and Miquelon",Landslide,Questionable Tsunami,,,
December,MONTSERRAT,Caribbean Sea,Volcano and Landslide,Definite Tsunami,,,
September,SOLOMON ISLANDS,"New Caledonia, New Guinea, Solomon Is., Vanuatu",Volcano,Definite Tsunami,,,
August,PAPUA NEW GUINEA,"New Caledonia, New Guinea, Solomon Is., Vanuatu",Landslide,Probable Tsunami,,,
January,RUSSIA,Kamchatka and Kuril Islands,Volcano,Definite Tsunami,,,
December,CUBA,Caribbean Sea,Earthquake,Very Doubtful Tsunami,,0.0,
January,USA,"East Coast USA and Canada, St Pierre and Miquelon",Landslide,Questionable Tsunami,,,
November,USA,West Coast of North and Central America,Landslide,Very Doubtful Tsunami,,0.0,
September,PAPUA NEW GUINEA,"New Caledonia, New Guinea, Solomon Is., Vanuatu",Volcano,Definite Tsunami,,,
May,USA,"East Coast USA and Canada, St Pierre and Miquelon",Meteorological,Event that only caused a seiche or disturbance in an inland river,,,
April,USA,"East Coast USA and Canada, St Pierre and Miquelon",Landslide,Event that only caused a seiche or disturbance in an inland river,,,
May,MARTINIQUE (FRENCH TERRITORY),Caribbean Sea,Volcano,Questionable Tsunami,,,
September,USA,"East Coast USA and Canada, St Pierre and Miquelon",Meteorological,Very Doubtful Tsunami,,,
December,RUSSIA,Kamchatka and Kuril Islands,Landslide,Probable Tsunami,,,2.0
May,SOUTH AFRICA,West Coast of Africa,Landslide,Questionable Tsunami,,,
October,PAPUA NEW GUINEA,"New Caledonia, New Guinea, Solomon Is., Vanuatu",Volcano,Questionable Tsunami,,,
September,VENEZUELA,Caribbean Sea,Landslide,Questionable Tsunami,5.0,0.0,
,VENEZUELA,Caribbean Sea,Questionable Earthquake,Very Doubtful Tsunami,,,
,TURKEY,Mediterranean Sea,Earthquake,Probable Tsunami,7.0,,3.0
December,TAIWAN,"China, North and South Korea, Philippines, Taiwan",Earthquake,Definite Tsunami,6.3,10.0,
September,RUSSIA,Kamchatka and Kuril Islands,Earthquake,Definite Tsunami,6.0,21.0,-4.0
December,USA,"East Coast USA and Canada, St Pierre and Miquelon",Earthquake,Event that only caused a seiche or disturbance in an inland river,8.0,,
June,COLOMBIA,Caribbean Sea,Questionable Earthquake,Event that only caused a seiche or disturbance in an inland river,6.5,120.0,
March,JAPAN,Japan,Earthquake,Probable Tsunami,6.4,33.0,
October,TONGA,"E Coast Australia, New Zealand, South Pacific Is.",Earthquake,Definite Tsunami,7.7,167.0,
July,VANUATU,"New Caledonia, New Guinea, Solomon Is., Vanuatu",Earthquake,Probable Tsunami,6.7,48.0,
June,SOLOMON ISLANDS,"New Caledonia, New Guinea, Solomon Is., Vanuatu",Earthquake,Very Doubtful Tsunami,6.3,75.0,
February,GREECE,Mediterranean Sea,Earthquake,Definite Tsunami,5.4,29.0,3.0
April,SOLOMON ISLANDS,"New Caledonia, New Guinea, Solomon Is., Vanuatu",Earthquake,Definite Tsunami,6.8,33.0,-1.0
June,JAPAN,Japan,Earthquake,Definite Tsunami,5.5,41.0,
September,USA,"East Coast USA and Canada, St Pierre and Miquelon",Earthquake,Probable Tsunami,4.3,,
May,USA,"East Coast USA and Canada, St Pierre and Miquelon",Earthquake,Event that only caused a seiche or disturbance in an inland river,,,
January,USA,"East Coast USA and Canada, St Pierre and Miquelon",Earthquake,Event that only caused a seiche or disturbance in an inland river,,,
February,JAPAN,Japan,Earthquake,Definite Tsunami,6.7,48.0,
November,USA TERRITORY,Caribbean Sea,Earthquake,Probable Tsunami,4.4,26.0,
December,TAIWAN,"China, North and South Korea, Philippines, Taiwan",Earthquake,Definite Tsunami,6.8,14.0,
January,INDONESIA,Indonesia (Pacific Ocean) and Malaysia,Earthquake,Definite Tsunami,6.7,17.0,
October,JAPAN,Japan,Earthquake,Definite Tsunami,7.0,10.0,
October,JAPAN,Japan,Earthquake,Definite Tsunami,6.7,22.0,0.5
November,CHILE,West Coast of South America,Earthquake,Definite Tsunami,6.7,20.0,-3.0
October,RUSSIA,Kamchatka and Kuril Islands,Earthquake,Definite Tsunami,7.3,33.0,-3.0
April,JAPAN,Japan,Earthquake,Definite Tsunami,6.4,13.0,-1.5
September,JAPAN,Japan,Earthquake,Definite Tsunami,6.5,10.0,
July,JAPAN,Japan,Earthquake,Definite Tsunami,7.2,37.0,-1.0
February,JAPAN,Japan,Earthquake,Definite Tsunami,6.4,10.0,
March,RUSSIA,Kamchatka and Kuril Islands,Earthquake,Definite Tsunami,6.7,33.0,-2.5
February,SOLOMON ISLANDS,"New Caledonia, New Guinea, Solomon Is., Vanuatu",Earthquake,Definite Tsunami,7.1,40.0,2.0
August,PAPUA NEW GUINEA,"New Caledonia, New Guinea, Solomon Is., Vanuatu",Earthquake and Landslide,Definite Tsunami,5.4,17.0,-1.0
December,RUSSIA,Black Sea and Caspian Sea,Earthquake,Definite Tsunami,5.1,7.0,2.0
August,RUSSIA,Kamchatka and Kuril Islands,Earthquake,Definite Tsunami,7.1,63.0,
September,RUSSIA,Kamchatka and Kuril Islands,Earthquake,Definite Tsunami,6.2,16.0,-3.0
October,USA,"East Coast USA and Canada, St Pierre and Miquelon",Earthquake,Event that only caused a seiche or disturbance in an inland river,6.7,,
November,VENEZUELA,Caribbean Sea,Earthquake,Questionable Tsunami,,0.0,
October,PANAMA,Caribbean Sea,Earthquake,Very Doubtful Tsunami,,0.0,
August,HONDURAS,Caribbean Sea,Earthquake and Landslide,Definite Tsunami,7.5,,
August,VENEZUELA,Caribbean Sea,Earthquake,Probable Tsunami,,,
August,USA,"East Coast USA and Canada, St Pierre and Miquelon",Earthquake,Event that only caused a seiche or disturbance in an inland river,,,
August,USA,"East Coast USA and Canada, St Pierre and Miquelon",Earthquake,Questionable Tsunami,5.5,,
June,USA,"East Coast USA and Canada, St Pierre and Miquelon",Earthquake,Questionable Tsunami,,,
November,USA,"East Coast USA and Canada, St Pierre and Miquelon",Earthquake,Event that only caused a seiche or disturbance in an inland river,5.2,,
March,INDONESIA,Indian Ocean (including west coast of Australia),Earthquake,Very Doubtful Tsunami,6.6,33.0,
December,TURKEY,Black Sea and Caspian Sea,Earthquake,Definite Tsunami,7.7,35.0,4.0
June,UKRAINE,Black Sea and Caspian Sea,Earthquake,Definite Tsunami,6.0,27.0,2.0
October,RUSSIA,Black Sea and Caspian Sea,Earthquake,Definite Tsunami,5.1,,2.0
May,TAIWAN,"China, North and South Korea, Philippines, Taiwan",Earthquake,Definite Tsunami,7.5,33.0,
December,JAPAN,Japan,Earthquake,Definite Tsunami,6.7,49.0,-2.0
September,CHILE,West Coast of South America,Earthquake,Definite Tsunami,6.9,10.0,-2.5
September,JAPAN,Japan,Earthquake,Definite Tsunami,5.7,33.0,-2.0
June,USA,Alaska (including Aleutian Islands),Earthquake,Definite Tsunami,7.3,24.0,-1.5
February,MEXICO,West Coast of North and Central America,Earthquake,Definite Tsunami,7.1,21.0,-3.0
October,JAPAN,Japan,Earthquake and Landslide,Definite Tsunami,6.8,20.0,0.5
October,JAPAN,Japan,Earthquake,Definite Tsunami,7.1,28.0,1.5
April,PHILIPPINES,"China, North and South Korea, Philippines, Taiwan",Earthquake,Definite Tsunami,6.8,23.0,-2.0
April,PHILIPPINES,"China, North and South Korea, Philippines, Taiwan",Earthquake,Definite Tsunami,7.2,21.0,-2.0
September,USA,West Coast of North and Central America,Earthquake,Definite Tsunami,7.0,10.0,-3.0
November,RUSSIA,Kamchatka and Kuril Islands,Earthquake,Definite Tsunami,7.0,34.0,-3.0
August,JAPAN,Japan,Earthquake,Definite Tsunami,6.3,13.0,
July,JAPAN,Japan,Earthquake,Definite Tsunami,7.0,29.0,-0.5
January,CHINA,"China, North and South Korea, Philippines, Taiwan",Earthquake,Definite Tsunami,3.7,,
December,RUSSIA,Kamchatka and Kuril Islands,Earthquake,Very Doubtful Tsunami,7.6,24.0,0.5
October,SOLOMON ISLANDS,"New Caledonia, New Guinea, Solomon Is., Vanuatu",Earthquake,Definite Tsunami,7.2,23.0,-2.5
February,USA,Alaska (including Aleutian Islands),Earthquake,Definite Tsunami,6.7,20.0,
February,RUSSIA,Kamchatka and Kuril Islands,Earthquake,Definite Tsunami,5.7,39.0,
February,SOLOMON ISLANDS,"New Caledonia, New Guinea, Solomon Is., Vanuatu",Earthquake,Definite Tsunami,6.9,10.0,
February,JAPAN,Japan,Earthquake,Definite Tsunami,6.4,14.0,
October,JAPAN,Japan,Earthquake,Definite Tsunami,6.5,10.0,
September,USA,Alaska (including Aleutian Islands),Earthquake,Definite Tsunami,7.1,11.0,
June,PHILIPPINES,"China, North and South Korea, Philippines, Taiwan",Earthquake,Definite Tsunami,5.4,53.0,
February,CHILE,West Coast of South America,Earthquake,Definite Tsunami,7.2,37.0,
November,USA,Alaska (including Aleutian Islands),Earthquake,Definite Tsunami,7.2,10.0,
October,PAPUA NEW GUINEA,"New Caledonia, New Guinea, Solomon Is., Vanuatu",Earthquake,Definite Tsunami,7.0,25.0,
October,TONGA,"E Coast Australia, New Zealand, South Pacific Is.",Earthquake,Definite Tsunami,7.3,16.0,
March,JAPAN,Japan,Earthquake,Definite Tsunami,5.1,23.0,
May,USA,Alaska (including Aleutian Islands),Earthquake,Very Doubtful Tsunami,6.4,15.0,
September,JAPAN,Japan,Earthquake,Definite Tsunami,6.9,48.0,
March,RUSSIA,Kamchatka and Kuril Islands,Earthquake,Definite Tsunami,7.2,44.0,-2.0
June,JAPAN,Japan,Earthquake,Definite Tsunami,6.9,10.0,
June,JAPAN,Japan,Earthquake,Definite Tsunami,5.9,26.0,
March,INDONESIA,Indonesia (Pacific Ocean) and Malaysia,Earthquake,Definite Tsunami,6.9,17.0,1.5
December,JAPAN,Japan,Earthquake,Definite Tsunami,6.4,22.0,-1.0
February,INDONESIA,Indian Ocean (including west coast of Australia),Earthquake,Questionable Tsunami,5.4,52.0,
January,JAPAN,Japan,Earthquake,Definite Tsunami,6.9,,
February,RUSSIA,Kamchatka and Kuril Islands,Earthquake,Definite Tsunami,7.0,44.0,-2.0
February,USA,Alaska (including Aleutian Islands),Earthquake and Landslide,Definite Tsunami,7.5,15.0,
July,TAIWAN,"China, North and South Korea, Philippines, Taiwan",Earthquake,Probable Tsunami,7.4,17.0,-1.0
June,PHILIPPINES,"China, North and South Korea, Philippines, Taiwan",Earthquake,Probable Tsunami,6.9,24.0,
October,TONGA,"E Coast Australia, New Zealand, South Pacific Is.",Earthquake,Questionable Tsunami,7.2,33.0,-3.0
August,PAPUA NEW GUINEA,"New Caledonia, New Guinea, Solomon Is., Vanuatu",Earthquake,Questionable Tsunami,5.5,33.0,-0.5
January,RUSSIA,Kamchatka and Kuril Islands,Earthquake,Definite Tsunami,7.0,41.0,-2.5
June,RUSSIA,Kamchatka and Kuril Islands,Earthquake,Definite Tsunami,7.0,15.0,2.0
March,CHILE,West Coast of South America,Earthquake,Very Doubtful Tsunami,6.9,4.0,
September,RUSSIA,Kamchatka and Kuril Islands,Earthquake,Definite Tsunami,6.7,43.0,-1.0
August,CHILE,West Coast of South America,Earthquake,Very Doubtful Tsunami,7.1,36.0,
January,SOLOMON ISLANDS,"New Caledonia, New Guinea, Solomon Is., Vanuatu",Earthquake,Definite Tsunami,7.0,34.0,1.0
December,CHILE,West Coast of South America,Earthquake,Questionable Tsunami,5.4,60.0,
August,PAPUA NEW GUINEA,"New Caledonia, New Guinea, Solomon Is., Vanuatu",Earthquake,Definite Tsunami,7.1,10.0,
June,CHILE,West Coast of South America,Earthquake,Questionable Tsunami,6.6,39.0,
November,USA,Alaska (including Aleutian Islands),Earthquake,Questionable Tsunami,5.7,21.0,
September,PAPUA NEW GUINEA,"New Caledonia, New Guinea, Solomon Is., Vanuatu",Earthquake and Landslide,Questionable Tsunami,7.0,115.0,0.5
September,RUSSIA,Kamchatka and Kuril Islands,Earthquake,Definite Tsunami,6.6,6.0,-3.0
September,RUSSIA,Kamchatka and Kuril Islands,Earthquake,Definite Tsunami,5.5,29.0,
August,JAPAN,Japan,Earthquake,Definite Tsunami,7.3,51.0,-0.5
May,USA,Alaska (including Aleutian Islands),Earthquake,Definite Tsunami,7.1,30.0,-3.0
November,CHILE,West Coast of South America,Earthquake,Questionable Tsunami,6.0,33.0,
July,JAPAN,Japan,Earthquake,Definite Tsunami,7.0,34.0,
June,CHILE,West Coast of South America,Earthquake,Questionable Tsunami,6.4,44.0,
June,CHILE,West Coast of South America,Earthquake,Questionable Tsunami,6.0,10.0,
April,JAPAN,Japan,Earthquake,Definite Tsunami,6.5,41.0,-3.0
August,JAPAN,Japan,Earthquake,Very Doubtful Tsunami,6.5,10.0,0.0
October,JAPAN,Japan,Earthquake,Definite Tsunami,6.6,10.0,-2.5
May,SOLOMON ISLANDS,"New Caledonia, New Guinea, Solomon Is., Vanuatu",Earthquake,Definite Tsunami,7.1,19.0,
December,RUSSIA,Kamchatka and Kuril Islands,Earthquake,Definite Tsunami,6.8,33.0,
September,NEW ZEALAND,"E Coast Australia, New Zealand, South Pacific Is.",Earthquake,Questionable Tsunami,5.1,,
November,GREECE,Mediterranean Sea,Earthquake,Definite Tsunami,6.7,,4.0
March,HAITI,Caribbean Sea,Earthquake,Very Doubtful Tsunami,,,
April,USA,"East Coast USA and Canada, St Pierre and Miquelon",Earthquake,Event that only caused a seiche or disturbance in an inland river,,,
June,UKRAINE,Black Sea and Caspian Sea,Earthquake,Definite Tsunami,5.7,,2.0
September,TURKEY,Mediterranean Sea,Earthquake,Probable Tsunami,,,
April,TURKEY,Mediterranean Sea,Earthquake,Very Doubtful Tsunami,6.6,,4.0
September,JAPAN,Japan,Earthquake,Definite Tsunami,7.4,10.0,
September,JAPAN,Japan,Earthquake,Definite Tsunami,7.2,14.0,
November,USA,Alaska (including Aleutian Islands),Earthquake,Definite Tsunami,7.8,33.0,
May,ALGERIA,Mediterranean Sea,Earthquake,Definite Tsunami,6.8,12.0,1.5
January,MEXICO,West Coast of North and Central America,Earthquake,Definite Tsunami,7.5,24.0,0.5
January,SOLOMON ISLANDS,"New Caledonia, New Guinea, Solomon Is., Vanuatu",Earthquake,Definite Tsunami,7.3,33.0,
October,INDONESIA,Indonesia (Pacific Ocean) and Malaysia,Earthquake,Very Doubtful Tsunami,7.6,10.0,2.82
September,INDIA,Indian Ocean (including west coast of Australia),Earthquake,Definite Tsunami,6.5,21.0,
September,PAPUA NEW GUINEA,"New Caledonia, New Guinea, Solomon Is., Vanuatu",Earthquake,Definite Tsunami,7.6,13.0,1.08
March,TAIWAN,"China, North and South Korea, Philippines, Taiwan",Earthquake,Definite Tsunami,7.1,33.0,
March,PHILIPPINES,"China, North and South Korea, Philippines, Taiwan",Earthquake,Definite Tsunami,7.5,31.0,
January,VANUATU,"New Caledonia, New Guinea, Solomon Is., Vanuatu",Earthquake,Definite Tsunami,7.2,21.0,-4.14
November,PAPUA NEW GUINEA,"New Caledonia, New Guinea, Solomon Is., Vanuatu",Earthquake,Definite Tsunami,8.0,17.0,
July,JAPAN,Japan,Earthquake,Definite Tsunami,6.1,10.0,
June,AUSTRALIA,Indian Ocean (including west coast of Australia),Earthquake,Definite Tsunami,7.9,10.0,
May,INDONESIA,Indonesia (Pacific Ocean) and Malaysia,Earthquake,Definite Tsunami,7.6,26.0,
December,RUSSIA,Kamchatka and Kuril Islands,Earthquake,Definite Tsunami,7.8,33.0,0.5
July,VENEZUELA,Caribbean Sea,Earthquake,Probable Tsunami,7.0,20.0,
April,SOLOMON ISLANDS,"New Caledonia, New Guinea, Solomon Is., Vanuatu",Earthquake,Definite Tsunami,7.7,33.0,-2.0
November,PERU,West Coast of South America,Earthquake,Definite Tsunami,7.7,33.0,-1.0
June,USA,Alaska (including Aleutian Islands),Earthquake,Definite Tsunami,7.9,33.0,0.5
December,RUSSIA,Kamchatka and Kuril Islands,Earthquake,Definite Tsunami,7.9,33.0,0.5
November,EGYPT,Red Sea and Persian Gulf,Earthquake,Definite Tsunami,7.2,10.0,
September,MEXICO,West Coast of North and Central America,Earthquake,Probable Tsunami,7.4,23.0,-1.0
August,PAPUA NEW GUINEA,"New Caledonia, New Guinea, Solomon Is., Vanuatu",Earthquake,Definite Tsunami,7.7,30.0,-1.5
July,CHILE,West Coast of South America,Earthquake,Definite Tsunami,8.0,46.0,1.5
June,GREECE,Mediterranean Sea,Earthquake and Landslide,Definite Tsunami,6.5,14.0,3.0
May,RUSSIA,Kamchatka and Kuril Islands,Earthquake,Definite Tsunami,7.1,11.0,-2.0
May,NEW CALEDONIA,"New Caledonia, New Guinea, Solomon Is., Vanuatu",Earthquake,Definite Tsunami,7.7,20.0,-2.0
April,SAMOA,"E Coast Australia, New Zealand, South Pacific Is.",Earthquake,Definite Tsunami,7.4,21.0,-1.5
January,JAPAN,Japan,Earthquake,Definite Tsunami,6.9,22.0,-2.0
December,JAPAN,Japan,Earthquake,Definite Tsunami,7.8,27.0,
October,RUSSIA,Kamchatka and Kuril Islands,Earthquake,Definite Tsunami,8.3,14.0,2.6
January,INDONESIA,Indonesia (Pacific Ocean) and Malaysia,Earthquake,Definite Tsunami,7.0,20.0,1.5
January,USA,West Coast of North and Central America,Earthquake,Probable Tsunami,6.7,18.0,-3.0
August,USA TERRITORY,"E Coast Australia, New Zealand, South Pacific Is.",Earthquake,Definite Tsunami,7.8,59.0,
June,RUSSIA,Kamchatka and Kuril Islands,Earthquake,Definite Tsunami,7.5,71.0,-0.5
February,JAPAN,Japan,Earthquake,Definite Tsunami,6.3,11.0,-0.5
May,PHILIPPINES,"China, North and South Korea, Philippines, Taiwan",Earthquake,Definite Tsunami,7.3,33.0,
April,USA,West Coast of North and Central America,Earthquake,Definite Tsunami,7.2,15.0,0.5
December,ITALY,Mediterranean Sea,Earthquake,Definite Tsunami,5.3,11.0,
April,USA TERRITORY,"E Coast Australia, New Zealand, South Pacific Is.",Earthquake,Definite Tsunami,7.5,11.0,
March,COSTA RICA,West Coast of North and Central America,Earthquake,Definite Tsunami,7.0,22.0,
November,JAPAN,Japan,Earthquake,Probable Tsunami,7.4,29.0,
October,USA,West Coast of North and Central America,Earthquake,Definite Tsunami,6.9,19.0,
June,USA,"Hawaii, Johnston Atoll, Midway I",Earthquake and Landslide,Definite Tsunami,6.5,9.0,
May,AUSTRALIA,"E Coast Australia, New Zealand, South Pacific Is.",Earthquake,Definite Tsunami,8.1,10.0,
July,PAPUA NEW GUINEA,"New Caledonia, New Guinea, Solomon Is., Vanuatu",Earthquake,Definite Tsunami,6.8,53.0,
March,USA,Alaska (including Aleutian Islands),Earthquake,Definite Tsunami,7.8,15.0,
November,USA,Alaska (including Aleutian Islands),Earthquake,Definite Tsunami,7.9,10.0,
October,PAPUA NEW GUINEA,"New Caledonia, New Guinea, Solomon Is., Vanuatu",Earthquake,Definite Tsunami,7.4,48.0,
March,JAPAN,Japan,Earthquake,Definite Tsunami,6.7,54.0,
March,CHILE,West Coast of South America,Earthquake,Definite Tsunami,7.6,62.0,
February,PAPUA NEW GUINEA,"New Caledonia, New Guinea, Solomon Is., Vanuatu",Earthquake,Definite Tsunami,7.4,55.0,
October,NEW ZEALAND,"E Coast Australia, New Zealand, South Pacific Is.",Earthquake,Definite Tsunami,7.8,29.0,
May,USA,Alaska (including Aleutian Islands),Earthquake,Definite Tsunami,8.0,31.0,
September,MEXICO,West Coast of North and Central America,Earthquake,Definite Tsunami,7.6,31.0,
September,MEXICO,West Coast of North and Central America,Earthquake,Definite Tsunami,8.0,28.0,
July,PAPUA NEW GUINEA,"New Caledonia, New Guinea, Solomon Is., Vanuatu",Earthquake and Landslide,Definite Tsunami,7.3,46.0,
April,INDONESIA,Indian Ocean (including west coast of Australia),Earthquake,Questionable Tsunami,6.2,99.0,
March,GUADELOUPE (FRENCH TERRITORY),Caribbean Sea,Earthquake,Definite Tsunami,6.4,13.0,
March,CHILE,West Coast of South America,Earthquake,Definite Tsunami,8.0,33.0,
August,JAPAN,Japan,Earthquake,Definite Tsunami,7.0,46.0,
January,INDONESIA,Indonesia (Pacific Ocean) and Malaysia,Earthquake,Very Doubtful Tsunami,6.8,33.0,
November,UK TERRITORY,Indian Ocean (including west coast of Australia),Earthquake,Definite Tsunami,7.7,10.0,
October,CHILE,West Coast of South America,Earthquake,Definite Tsunami,7.7,15.0,0.2
August,PHILIPPINES,"China, North and South Korea, Philippines, Taiwan",Earthquake,Definite Tsunami,6.6,29.0,
August,GREECE,Mediterranean Sea,Earthquake,Questionable Tsunami,7.0,2.0,2.0
March,PAPUA NEW GUINEA,"New Caledonia, New Guinea, Solomon Is., Vanuatu",Earthquake,Definite Tsunami,7.9,89.0,
December,TONGA,"E Coast Australia, New Zealand, South Pacific Is.",Earthquake,Definite Tsunami,7.5,33.0,
March,JAPAN,Japan,Earthquake,Definite Tsunami,6.9,44.0,
October,MEXICO,West Coast of North and Central America,Earthquake,Definite Tsunami,7.3,28.0,
May,NEW ZEALAND,"E Coast Australia, New Zealand, South Pacific Is.",Earthquake,Definite Tsunami,7.6,33.0,
February,GREECE,Mediterranean Sea,Earthquake,Definite Tsunami,6.7,33.0,3.0
July,SOLOMON ISLANDS,"New Caledonia, New Guinea, Solomon Is., Vanuatu",Earthquake,Definite Tsunami,7.9,33.0,
June,JAPAN,Japan,Earthquake,Definite Tsunami,6.2,15.0,
November,FIJI,"E Coast Australia, New Zealand, South Pacific Is.",Earthquake,Questionable Tsunami,6.9,33.0,
April,MONTENEGRO,Mediterranean Sea,Earthquake,Definite Tsunami,6.9,10.0,1.0
March,MEXICO,West Coast of North and Central America,Earthquake,Definite Tsunami,7.6,49.0,
November,MEXICO,West Coast of North and Central America,Earthquake,Questionable Tsunami,7.8,18.0,
June,GREECE,Mediterranean Sea,Earthquake,Questionable Tsunami,6.4,3.0,2.0
June,JAPAN,Japan,Earthquake,Definite Tsunami,7.7,44.0,0.5
March,RUSSIA,Kamchatka and Kuril Islands,Earthquake,Definite Tsunami,7.6,33.0,0.0
March,RUSSIA,Kamchatka and Kuril Islands,Earthquake,Definite Tsunami,7.5,33.0,0.0
March,RUSSIA,Kamchatka and Kuril Islands,Earthquake,Definite Tsunami,6.8,46.0,-1.5
January,JAPAN,Japan,Earthquake,Definite Tsunami,6.6,,
June,TONGA,"E Coast Australia, New Zealand, South Pacific Is.",Earthquake,Definite Tsunami,7.2,65.0,
April,SOLOMON ISLANDS,"New Caledonia, New Guinea, Solomon Is., Vanuatu",Earthquake,Definite Tsunami,8.1,33.0,-1.5
April,SAMOA,"E Coast Australia, New Zealand, South Pacific Is.",Earthquake,Definite Tsunami,7.6,33.0,-2.0
February,GUATEMALA,Caribbean Sea,Earthquake,Definite Tsunami,7.5,5.0,
January,NEW ZEALAND,"E Coast Australia, New Zealand, South Pacific Is.",Earthquake,Definite Tsunami,8.0,33.0,
December,SAMOA,"E Coast Australia, New Zealand, South Pacific Is.",Earthquake,Definite Tsunami,7.8,33.0,
July,PAPUA NEW GUINEA,"New Caledonia, New Guinea, Solomon Is., Vanuatu",Earthquake,Definite Tsunami,7.9,49.0,1.0
January,INDONESIA,Indonesia (Pacific Ocean) and Malaysia,Earthquake,Very Doubtful Tsunami,5.9,33.0,
December,PAKISTAN,Indian Ocean (including west coast of Australia),Earthquake,Event that only caused a seiche or disturbance in an inland river,6.2,22.0,
October,PERU,West Coast of South America,Earthquake,Definite Tsunami,8.1,13.0,1.0
May,JAPAN,Japan,Earthquake,Definite Tsunami,6.7,2.0,-2.5
October,CHILE,West Coast of South America,Earthquake,Definite Tsunami,6.7,14.0,-1.0
June,RUSSIA,Kamchatka and Kuril Islands,Earthquake,Definite Tsunami,7.1,50.0,
June,JAPAN,Japan,Earthquake,Definite Tsunami,7.7,48.0,1.0
February,RUSSIA,Kamchatka and Kuril Islands,Earthquake,Definite Tsunami,7.2,27.0,0.5
January,MEXICO,West Coast of North and Central America,Earthquake,Definite Tsunami,7.5,43.0,
December,JAPAN,Japan,Earthquake,Definite Tsunami,7.4,66.0,-1.0
December,PHILIPPINES,"China, North and South Korea, Philippines, Taiwan",Earthquake,Questionable Tsunami,7.4,33.0,
July,USA,Alaska (including Aleutian Islands),Earthquake and Landslide,Definite Tsunami,7.6,25.0,-2.0
February,JAPAN,Japan,Earthquake,Definite Tsunami,7.4,56.0,0.5
January,TAIWAN,"China, North and South Korea, Philippines, Taiwan",Earthquake,Definite Tsunami,7.5,33.0,-2.0
December,RUSSIA,Kamchatka and Kuril Islands,Earthquake,Definite Tsunami,7.8,33.0,
September,RUSSIA,Kamchatka and Kuril Islands,Earthquake,Definite Tsunami,7.1,9.0,1.0
July,PAPUA NEW GUINEA,"New Caledonia, New Guinea, Solomon Is., Vanuatu",Earthquake,Definite Tsunami,7.9,48.0,1.5
July,CHILE,West Coast of South America,Earthquake,Definite Tsunami,7.8,58.0,0.0
September,PHILIPPINES,"China, North and South Korea, Philippines, Taiwan",Earthquake,Probable Tsunami,5.3,33.0,0.5
May,PERU,West Coast of South America,Earthquake,Definite Tsunami,7.9,43.0,
April,PHILIPPINES,"China, North and South Korea, Philippines, Taiwan",Earthquake,Probable Tsunami,7.3,40.0,1.0
January,PHILIPPINES,"China, North and South Korea, Philippines, Taiwan",Earthquake,Definite Tsunami,7.6,73.0,
December,GUADELOUPE (FRENCH TERRITORY),Caribbean Sea,Earthquake,Definite Tsunami,7.2,7.0,
November,RUSSIA,Kamchatka and Kuril Islands,Earthquake,Definite Tsunami,7.7,51.0,3.0
